NumDots,UrlLength,NumDash,AtSymbol,IpAddress,HttpsHostname,PathLength,NumChars,Phishing
2,106,12,0,0,0,88,1,0
2,156,3,0,0,0,10,1,0
2,34,0,0,0,0,34,1,0
4,39,0,0,0,0,11,0,0
1,58,5,0,0,0,34,1,0
1,48,1,0,0,0,48,1,0
2,58,0,0,0,0,32,1,0
5,68,0,0,0,0,68,0,0
1,44,3,0,0,0,44,1,0
1,25,0,0,0,0,25,0,0
1,29,0,0,0,0,29,1,0
3,44,0,0,0,0,22,1,0
2,38,1,0,0,0,24,0,0
3,101,1,0,0,0,41,1,0
2,30,0,0,0,0,30,1,0
1,7,0,0,0,0,7,0,0
3,49,2,0,0,0,49,1,0
1,32,1,0,0,0,32,0,0
3,114,4,0,0,0,42,1,0
2,117,0,0,0,0,10,1,0
2,50,1,0,0,0,27,1,0
2,49,2,0,0,0,49,0,0
9,146,0,0,0,0,57,1,0
2,81,5,0,0,0,36,1,0
1,40,1,0,0,0,40,0,0
2,103,12,0,0,0,103,1,0
5,91,1,0,0,0,15,1,0
1,32,2,0,0,0,32,0,0
3,49,0,0,0,0,49,1,0
2,47,4,0,0,0,47,1,0
1,76,8,0,0,0,76,1,0
2,114,5,0,0,0,10,1,0
2,62,1,0,0,0,35,0,0
2,59,1,0,0,0,37,0,0
2,42,0,0,0,0,42,1,0
3,71,0,0,0,0,71,1,0
